# Real team-pointer table, transcribed from carky12's "Punteros Equipos.pdf"
# (jandro996/EditorPCFutbol6 repo, Manuales/Punteros Equipos.pdf).
# Community reference data (4-digit decimal pointer -> team name/country),
# not proprietary Dinamic game content -- see PLAN.md Appendix C / §9 and
# fixtures/README.md. Confirms pointers/team_filename's EQ97+pointer
# convention: e.g. Boca = 9013 -> EQ979013.DBC (already implemented in
# crates/pcf-model/src/pointers.rs).
pointer,name,country
1453,Slavia Praga,Rep. Checa
1454,Sigma Olomouc,Rep. Checa
1455,Jablonec N. Nisou,Rep. Checa
1456,Petra Drnovice,Rep. Checa
1457,Boby Brno,Rep. Checa
1458,Banik Ostrava,Rep. Checa
1459,Teplice,Rep. Checa
1460,Slovan Liberec,Rep. Checa
1461,Blsani,Rep. Checa
1462,Dukla Pribram,Rep. Checa
1463,Mlada Boleslav,Rep. Checa
1464,Viktoria Zizkov,Rep. Checa
1501,Lok. Sofia,Bulgaria
1502,Levski Sofia,Bulgaria
1503,Botev Plovdiv,Bulgaria
1504,Slavia Sofia,Bulgaria
1505,CSKA Sofía,Bulgaria
1506,Lovech,Bulgaria
1507,Neftochimik,Bulgaria
1508,FC Velbazhd,Bulgaria
1551,Slovan Bratislava,Eslovaquia
1552,Inter Bratislava,Eslovaquia
1553,Chemlon H.,Eslovaquia
1554,Kosice,Eslovaquia
1555,Trnava,Eslovaquia
1556,Dukla Banska,Eslovaquia
1557,Tatran Presov,Eslovaquia
1558,Bardejov,Eslovaquia
1559,Zilina,Eslovaquia
1560,Artmedia Petrzalka,Eslovaquia
1601,Mura,Eslovenia
1602,Olimpia,Eslovenia
1603,Maribor Branik,Eslovenia
1604,Primorje,Eslovenia
1605,Gorica,Eslovenia
1606,Rudar Velenje,Eslovenia
1607,Korotan,Eslovenia
1651,Anorthosis Famagusta,Chipre
1652,Apoel Nicosia,Chipre
1653,Omonia Nicosia,Chipre
1654,AEK Larnaca,Chipre
1655,Apollon,Chipre
1656,Nea Salamis,Chipre
1701,Ferencvaros,Hungría
1702,VAC Samsung,Hungría
1703,Ujpesti Dozsa,Hungría
1704,Kipest Honvéd (actual Budapest Honvéd),Hungría
1705,BVSC,Hungría
1706,Debreceni Vasutas (ex-DVSC Epona),Hungría
1707,MTK,Hungría
1708,Vasas CV,Hungría
1709,Csepel,Hungría
1710,Dunaferr,Hungría
1711,Tatabanya,Hungría
1712,Kerületi (III. Kerületi TVE),Hungría
1713,Zalaegerszegi,Hungría
1714,Videoton,Hungría
1715,Györ,Hungría
1716,Haladás,Hungría
1717,Siófok,Hungría
1718,Békéscsaba,Hungría
1719,Stadler,Hungría
1720,Pécs,Hungría
1751,Shakhtar Donetsk,Ucrania
1752,Dinamo Kiev,Ucrania
1753,Chernomorets,Ucrania
1754,Nyva Vinnytsya,Ucrania
1755,CSKA Kiev,Ucrania
1756,Kryvbas,Ucrania
1757,Karpaty,Ucrania
1758,Vorskla Poltava,Ucrania
1801,Grevenmacher,Luxemburgo
1802,Jeunesse,Luxemburgo
1804,Avenir Beggen,Luxemburgo
1805,Vaduz,Liechtenstein
1851,Derry City,Irlanda
1852,Dundalk,Irlanda
1853,Shelbourne,Irlanda
1854,St. Patrick's Athletic,Irlanda
1855,Bohemians,Irlanda
1856,Sligo Rovers,Irlanda
1857,Shamrock Rovers,Irlanda
1858,University College Dublin,Irlanda
1859,Cork City,Irlanda
1860,Athlone Town,Irlanda
1861,Drogheda United,Irlanda
1862,Galway United,Irlanda
1901,Linfield,Irlanda del Norte
1902,Crusaders,Irlanda del Norte
1903,Glenavon,Irlanda del Norte
1904,Portadown,Irlanda del Norte
1905,Glentoran,Irlanda del Norte
1906,Cliftonville,Irlanda del Norte
1907,Ards,Irlanda del Norte
1908,Bangor,Irlanda del Norte
1909,Ballymena,Irlanda del Norte
1910,Coleraine,Irlanda del Norte
1911,Omagh,Irlanda del Norte
1912,Newry Town,Irlanda del Norte
1951,KR Reykjavik,Islandia
1952,Akranes,Islandia
1953,Fimleikafelag,Islandia
1954,IBV,Islandia
1955,Leiftur,Islandia
2002,TPV Tampere (Tampereen Pallo-Veikot),Finlandia
2003,MyPa,Finlandia
2004,Haka,Finlandia
2005,Jazz,Finlandia
2006,HJK Helsinki,Finlandia
2007,Jokerit,Finlandia
2051,Welshpool Town,Gales
2052,Bangor City,Gales
2053,Afan Lido,Gales
2054,Barry Town,Gales
2055,Newton,Gales
2056,Conwy United,Gales
2057,Fflint Town,Gales
2058,Caernarfon,Gales
2059,Cwmbran,Gales
2060,Inter Cardiff (Inter Cabletel),Gales
2061,Caerswrs,Gales
2062,Connah's Quay,Gales
2063,Ebbw Vale,Gales
2064,Llasantffraid,Gales
2065,Porthmadog,Gales
2066,Averyswyth Town,Gales
2067,Ton Pentre,Gales
2068,Rhyl FC,Gales
2069,Holywell Town,Gales
2070,Cemaes Bay,Gales
2071,Carmarthen Town,Gales
2072,Briton Ferry Athletic,Gales
2101,Maccabi Tel Aviv,Israel
2102,Maccabi Haifa,Israel
2103,Hapoël Be'er-Sheva,Israel
2104,Hapoël Tel-Aviv,Israel
2105,Hapoel Petah Tikva,Israel
2106,Beitar Jerusalén,Israel
2107,Hapoël Haifa,Israel
2108,Maccabi Petah-Tikva,Israel
2109,Hapoel Kfar-Saba,Israel
2110,Ironi Rishon LeZion,Israel
2111,Bnei-Yehuda Tel-Aviv,Israel
2112,Hapoel Beit-Shean,Israel
2113,Hapoel Jerusalem,Israel
2114,Maccabi Herzliya,Israel
2115,Hapoel Tsafririm Holon,Israel
2116,Hapoel Taibe,Israel
2151,Valletta,Malta
2152,Hibernians,Malta
2153,Sliema,Malta
2154,Floriana,Malta
2155,Birkirkara,Malta
2202,Klaksvikar Itrottarfelag,Islas Faroe
2203,Gotu Itrottarfelag,Islas Faroe
2204,HB Torshavn,Islas Faroe
2205,B36 Torshavn,Islas Faroe
2251,Zalguiris Vilnius,Lituania
2252,Inkaras Kaunas,Lituania
2253,Kareda S.,Lituania
2254,FK Zalguiris Kaunas,Lituania
2255,Ekranas Panevezys,Lituania
2256,Atlantas,Lituania
2401,Teuta,Albania
2402,Partizan Tirana,Albania
2403,SK Tirana,Albania
2404,Tomori Berat,Albania
2502,Dinamo Tbilisi,Georgia
2503,Dinamo Batumi,Georgia
2504,Lokomot. Tbilisi,Georgia
2505,Torpedo Kutaisi,Georgia
2506,Georgia Tbilisi,Georgia
2553,Constructorul,Moldavia
2554,Zimbru Chisinau,Moldavia
2556,Nistru Otaci,Moldavia
2601,Bolívar,Bolivia
2602,The Strongest,Bolivia
2603,Oriente Petrolero,Bolivia
2604,Blooming,Bolivia
2651,El Nacional,Ecuador
2652,Emelec,Ecuador
2653,Barcelona Guayaquil,Ecuador
2654,Liga D. Univers.,Ecuador
2701,Dinamo Minsk,Bielorrusia
2751,Universitario,Perú
2752,Alianza Lima,Perú
2753,Sporting Cristal,Perú
2800,Flamengo,Brasil
2801,Vasco da Gama,Brasil
2802,Palmeiras,Brasil
2803,Botafogo,Brasil
2804,Sao Paulo,Brasil
2805,Gremio,Brasil
2806,Corinthians,Brasil
2807,Santos,Brasil
2808,Fluminense,Brasil
2809,Cruzeiro,Brasil
2810,At. Paranaense,Brasil
2811,Juventude,Brasil
2812,Atlético Mineiro,Brasil
2813,Portuguesa,Brasil
2814,Internacional,Brasil
2900,Peñarol,Uruguay
2901,Nacional,Uruguay
2902,Wanderers,Uruguay
2903,River Plate (URU),Uruguay
2904,Bella Vista,Uruguay
